rollout/ep_len_mean,train/value_loss,train/n_updates,time/total_timesteps,time/iterations,rollout/ep_rew_mean,train/learning_rate,train/explained_variance,train/policy_loss,time/time_elapsed,train/entropy_loss,time/fps
293.05,1.5112481117248535,26999,135000,27000,-24.53477405,0.0007,-1.4642903804779053,-0.10048236697912216,142,-0.2751334309577942,949
293.05,1.4981365203857422,27099,135500,27100,-24.53477405,0.0007,-0.06896090507507324,-0.7113198041915894,143,-0.48674148321151733,946
302.04,4.608006477355957,27199,136000,27200,-25.90820261,0.0007,0.7213782072067261,-0.0,143,-3.345029142565181e-07,947
302.04,0.706602931022644,27299,136500,27300,-25.90820261,0.0007,-0.11196184158325195,0.0310345645993948,143,-0.6274170875549316,948
311.05,7.425726413726807,27399,137000,27400,-26.37822526,0.0007,-0.7723089456558228,0.34144413471221924,144,-0.27256861329078674,949
311.05,3.0142290592193604,27499,137500,27500,-26.37822526,0.0007,-0.09249234199523926,0.429328978061676,144,-0.14342601597309113,949
319.91,0.9842384457588196,27599,138000,27600,-28.18236585,0.0007,0.7799663543701172,-0.08354666084051132,145,-0.3425788879394531,947
319.91,1.7446779012680054,27699,138500,27700,-28.18236585,0.0007,-3.5589866638183594,-0.1163475289940834,146,-0.4358280301094055,944
326.09,0.6096376180648804,27799,139000,27800,-26.09733178,0.0007,0.5772120952606201,0.2286899983882904,147,-0.5741620659828186,942
326.09,1.6890376806259155,27899,139500,27900,-26.09733178,0.0007,0.41440504789352417,-1.2081871032714844,148,-0.3481198251247406,942
336.06,1.507825255393982,27999,140000,28000,-26.850373779999998,0.0007,0.9520021677017212,0.29124537110328674,148,-0.37617701292037964,943
338.28,7.533921718597412,28099,140500,28100,-27.167162400000002,0.0007,0.3952367305755615,-0.03918767720460892,148,-0.3881825804710388,943
342.15,17.867603302001953,28199,141000,28200,-27.364180080000004,0.0007,0.6675336360931396,0.16281932592391968,149,-0.2793845236301422,941
346.43,0.33707326650619507,28299,141500,28300,-28.893114800000003,0.0007,0.9632219672203064,-0.10725478827953339,150,-0.3991382420063019,939
348.83,12.537603378295898,28399,142000,28400,-26.436050670000004,0.0007,-0.2700258493423462,-0.039820652455091476,151,-0.5218411684036255,940
352.31,1.901521921157837,28499,142500,28500,-27.497797250000005,0.0007,0.9870577454566956,-0.5794605016708374,151,-0.3865571916103363,941
352.31,7.351918697357178,28599,143000,28600,-27.497797250000005,0.0007,-0.4665638208389282,-0.4937194883823395,151,-0.6433926820755005,942
361.41,8.78622055053711,28699,143500,28700,-26.91381943,0.0007,0.291351854801178,-0.3022195100784302,152,-0.3802984356880188,943
361.41,17.84454345703125,28799,144000,28800,-26.91381943,0.0007,0.9128133654594421,0.03487425297498703,152,-0.2686034142971039,944
367.63,0.1440010517835617,28899,144500,28900,-25.161199139999997,0.0007,0.8766636848449707,-0.03569640964269638,153,-0.5324755907058716,942
367.63,1.9357821941375732,28999,145000,29000,-25.161199139999997,0.0007,0.21800565719604492,0.08200276643037796,153,-0.4528731405735016,943
376.64,0.5035848617553711,29099,145500,29100,-25.571267529999997,0.0007,-0.39499902725219727,-0.08681028336286545,154,-0.7124038934707642,944
376.64,0.53435218334198,29199,146000,29200,-25.571267529999997,0.0007,-0.12541651725769043,0.083565853536129,154,-0.5665189027786255,945
385.64,1.7951186895370483,29299,146500,29300,-25.88030168,0.0007,-7.392066955566406,-0.04580041021108627,155,-0.5031722784042358,944
385.64,4.08870267868042,29399,147000,29400,-25.88030168,0.0007,-0.14885640144348145,0.17978040874004364,155,-0.48537635803222656,945
395.9,1.468584418296814,29499,147500,29500,-26.765541149999994,0.0007,0.8786675333976746,-0.07992349565029144,155,-0.4428984522819519,946
397.25,1.3852132558822632,29599,148000,29600,-26.057051379999997,0.0007,0.6493158936500549,-0.028077522292733192,156,-0.34895560145378113,946
397.25,1.7427934408187866,29699,148500,29700,-26.057051379999997,0.0007,-0.05630803108215332,-0.11618848145008087,156,-0.684552788734436,947
406.18,24.943599700927734,29799,149000,29800,-27.34321503,0.0007,0.30854618549346924,-0.24766644835472107,157,-0.7643702626228333,948
412.24,1.3306185007095337,29899,149500,29900,-27.73652989,0.0007,0.9401231408119202,0.003701054723933339,157,-0.052103519439697266,949
416.23,2.689781904220581,29999,150000,30000,-26.738293419999994,0.0007,-2.172800302505493,-0.38844195008277893,157,-0.2483963519334793,950
421.09,0.004206502344459295,30099,150500,30100,-24.889494549999995,0.0007,0.00015431642532348633,-3.4421682926222275e-07,158,-0.2719792425632477,948
421.09,6.497692108154297,30199,151000,30200,-24.889494549999995,0.0007,0.9370529651641846,-0.130222350358963,159,-0.3770812451839447,946
430.24,4.167333126068115,30299,151500,30300,-25.238098459999996,0.0007,0.7104620337486267,-0.3395196497440338,160,-0.588385283946991,944
430.91,0.00483431201428175,30399,152000,30400,-26.968125579999995,0.0007,-0.10378146171569824,0.0002787504345178604,161,-0.33383306860923767,942
436.09,6.48935604095459,30499,152500,30500,-25.95765544,0.0007,0.1776881217956543,-0.04628290608525276,162,-0.22124429047107697,940
437.56,21.491058349609375,30599,153000,30600,-27.109993399999997,0.0007,0.7706059217453003,-0.2479197233915329,162,-0.3770993649959564,940
438.44,2.182610034942627,30699,153500,30700,-27.427416799999996,0.0007,0.6502869129180908,0.791336178779602,163,-0.42676448822021484,938
443.87,3.712245225906372,30799,154000,30800,-26.539771339999998,0.0007,0.8265202641487122,-0.056810952723026276,164,-0.3639734983444214,936
445.71,875.5428466796875,30899,154500,30900,-26.239647309999995,0.0007,-2.4439780712127686,0.1291050910949707,164,-0.4537757933139801,937
448.34,515.4500732421875,30999,155000,31000,-23.378624539999997,0.0007,0.9514392614364624,-3.397699899210238e-08,165,-1.5018954400147777e-05,938
450.77,3.051494836807251,31099,155500,31100,-20.691039859999997,0.0007,0.9400566816329956,0.02710830233991146,165,-0.3283660113811493,939
453.4,3.0364415645599365,31199,156000,31200,-17.32175144,0.0007,0.443644642829895,0.014953632839024067,165,-0.3002106547355652,940
455.98,8.521100997924805,31299,156500,31300,-14.30901202,0.0007,0.2744376063346863,1.101162069971906e-05,166,-0.005490275099873543,941
456.66,21.791885375976562,31399,157000,31400,-13.555515160000002,0.0007,0.9188005924224854,0.05021283030509949,166,-0.1847483366727829,942
458.45,0.03124796412885189,31499,157500,31500,-10.187936660000002,0.0007,0.9856290221214294,-0.12436170876026154,166,-0.44616374373435974,943
459.96,42.442352294921875,31599,158000,31600,-8.53935932,0.0007,0.8554965853691101,-0.0001378149027004838,167,-0.0012100418098270893,944
