time/total_timesteps,train/policy_loss,train/n_updates,train/entropy_loss,rollout/ep_rew_mean,train/explained_variance,train/learning_rate,time/fps,time/time_elapsed,rollout/ep_len_mean,train/value_loss,time/iterations
83000,-0.00015951954992488027,16599,-0.2809629738330841,337.74,-20.82513999938965,0.0007,1099,75,337.74,1.5640514448023168e-06,16600
83500,0.00034854660043492913,16699,-0.22456613183021545,342.15,-413.384521484375,0.0007,1099,75,342.15,1.48550143421744e-05,16700
84000,-0.007368630263954401,16799,-0.3510019779205322,346.64,-117.57990264892578,0.0007,1100,76,346.64,7.35706853447482e-05,16800
84500,-0.0005998524720780551,16899,-0.3702077269554138,351.12,-11.092308044433594,0.0007,1102,76,351.12,5.899032203160459e-06,16900
85000,-0.0002464161370880902,16999,-0.43537378311157227,355.75,-8.943257331848145,0.0007,1103,77,355.75,5.293986760079861e-07,17000
85500,4.3049898522440344e-05,17099,-0.608668327331543,360.06,-6.840937614440918,0.0007,1105,77,360.06,2.867658679406304e-07,17100
86000,-0.0007223179563879967,17199,-0.6297863721847534,364.3,-17.867704391479492,0.0007,1106,77,364.3,4.300207365304232e-06,17200
86500,7.120090594980866e-05,17299,-0.3243498206138611,367.16,-4497.3349609375,0.0007,1107,78,367.16,7.793761142238509e-06,17300
87000,-0.0007454298320226371,17399,-0.3738028109073639,371.63,-41.31142044067383,0.0007,1109,78,371.63,8.089630682661664e-06,17400
87500,0.00015688975690864027,17499,-0.21959562599658966,376.05,-2519.97119140625,0.0007,1110,78,376.05,1.4177081538946368e-05,17500
88000,0.00037925440119579434,17599,-0.22258739173412323,380.32,-98.99185180664062,0.0007,1112,79,380.32,1.3875612239644397e-05,17600
88500,0.00023538088134955615,17699,-0.18930183351039886,384.91,-293.9547119140625,0.0007,1113,79,384.91,1.0561966519162524e-05,17700
89000,-0.001131203374825418,17799,-0.3616222143173218,389.4,-2.2821009159088135,0.0007,1115,79,389.4,1.0757311429188121e-05,17800
89500,-2.4513245080015622e-05,17899,-0.27367275953292847,393.79,-20.899330139160156,0.0007,1116,80,393.79,1.3042706541455118e-06,17900
90000,-0.00035772108822129667,17999,-0.36250048875808716,398.21,-1.4911913871765137,0.0007,1118,80,398.21,2.081389567365477e-07,18000
90500,-0.0012081385357305408,18099,-0.3502964377403259,402.57,-11.026090621948242,0.0007,1119,80,402.57,7.358507900789846e-06,18100
91000,-0.001065339078195393,18199,-0.37882837653160095,406.87,-26.030038833618164,0.0007,1121,81,406.87,8.147221706167329e-06,18200
91500,-8.338764018844813e-05,18299,-0.31372296810150146,411.11,-45.75575256347656,0.0007,1122,81,411.11,6.027054268997745e-07,18300
92000,-0.00021760778327006847,18399,-0.20126716792583466,415.27,-150.25437927246094,0.0007,1124,81,415.27,2.094660942475457e-07,18400
92500,-0.00046911020763218403,18499,-0.3705384135246277,419.29,-6.072737693786621,0.0007,1119,82,419.29,5.798298161607818e-07,18500
93000,-0.00029401123174466193,18599,-0.2970298230648041,422.63,-1.1615815162658691,0.0007,1114,83,422.63,5.709938477593823e-07,18600
93500,-0.00039462820859625936,18699,-0.3166205585002899,424.85,-27.623249053955078,0.0007,1109,84,424.85,2.237001808680361e-06,18700
94000,0.0001282811863347888,18799,-0.19970056414604187,428.04,-114.8462142944336,0.0007,1110,84,428.04,1.8987105931955739e-06,18800
94500,0.0004654413496609777,18899,-0.2915377616882324,431.71,-1785.54541015625,0.0007,1111,84,431.71,1.1921243640244938e-05,18900
95000,-0.0007259859703481197,18999,-0.18977312743663788,435.6,-1.2928898334503174,0.0007,1112,85,435.6,1.2677744507527677e-06,19000
95500,0.000603640335611999,19099,-0.285126656293869,439.47,-6808.41943359375,0.0007,1114,85,439.47,9.672075975686312e-06,19100
96000,0.0006162531208246946,19199,-0.282744824886322,443.28,-87.62556457519531,0.0007,1114,86,443.28,1.2609304576471914e-05,19200
96500,-7.47126032365486e-05,19299,-0.2259480059146881,447.3,-5.474385738372803,0.0007,1116,86,447.3,7.140799311855517e-07,19300
97000,-0.0002196665882365778,19399,-0.37574702501296997,450.98,-1.8772869110107422,0.0007,1117,86,450.98,3.4084078492924164e-07,19400
97500,0.0008154550450854003,19499,-0.25978565216064453,454.71,-1035.531494140625,0.0007,1119,87,454.71,2.4361372197745368e-05,19500
98000,-7.218015525722876e-05,19599,-0.16911575198173523,458.0,-951.6094360351562,0.0007,1114,87,458.0,2.849788870662451e-06,19600
98500,-4.965325933881104e-05,19699,-0.2508712410926819,461.27,-2.525099277496338,0.0007,1109,88,461.27,2.502114568869729e-07,19700
99000,-0.000130164175061509,19799,-0.36433106660842896,461.27,-172.57586669921875,0.0007,1105,89,461.27,2.9106158194736054e-07,19800
