time/total_timesteps,train/policy_loss,train/n_updates,train/entropy_loss,rollout/ep_rew_mean,train/explained_variance,train/learning_rate,time/fps,time/time_elapsed,rollout/ep_len_mean,train/value_loss,time/iterations
53000,0.07913069427013397,10599,-0.5086339712142944,84.7,-2.2871973514556885,0.0007,1003,52,84.7,0.10790040343999863,10600
53500,0.1588400900363922,10699,-0.46465903520584106,89.47,-14.954155921936035,0.0007,1005,53,89.47,0.20185236632823944,10700
54000,0.014365012757480145,10799,-0.3562360405921936,94.16,-980.9319458007812,0.0007,1006,53,94.16,0.006737383548170328,10800
54500,-0.008154138922691345,10899,-0.5788953900337219,98.72,-38.94303894042969,0.0007,1008,54,98.72,0.0008629175717942417,10900
55000,0.008056925609707832,10999,-0.4216347336769104,103.47,-286.4017028808594,0.0007,1011,54,103.47,0.0025984104722738266,11000
55500,0.001524024293757975,11099,-0.5713623762130737,108.21,-1.8011865615844727,0.0007,1006,55,108.21,3.632285006460734e-05,11100
56000,-0.004792273975908756,11199,-0.2969821095466614,112.63,-0.12815165519714355,0.0007,1000,55,112.63,9.982958727050573e-05,11200
56500,-0.0013893510913476348,11299,-0.4756433963775635,116.98,-5.657571792602539,0.0007,1003,56,116.98,0.0004961281665600836,11300
57000,-0.009583927690982819,11399,-0.39704641699790955,121.69,-40.121185302734375,0.0007,1006,56,121.69,0.0007266488973982632,11400
57500,-0.003140263259410858,11499,-0.339302659034729,126.05,-5.45642614364624,0.0007,1009,56,126.05,0.00024172838311642408,11500
58000,-0.004211164079606533,11599,-0.3178672790527344,130.8,-71.53509521484375,0.0007,1011,57,130.8,0.0001471516879973933,11600
58500,-0.0002782137307804078,11699,-0.46874380111694336,135.16,-10.28498649597168,0.0007,1014,57,135.16,1.9538483684300445e-05,11700
59000,-0.007192661520093679,11799,-0.39075616002082825,139.37,-1.2002263069152832,0.0007,1017,57,139.37,0.00048390100710093975,11800
