rollout/ep_len_mean,time/time_elapsed,time/fps,time/episodes,time/total_timesteps,rollout/exploration_rate,rollout/ep_rew_mean,train/n_updates,train/learning_rate,train/loss
2172.33,570,993,9920,567004,0.01,16.99,34812,0.0001,0.0034682387486100197
2199.62,578,993,9984,575272,0.01,16.91,35329,0.0001,0.008397004567086697
2304.43,587,993,10048,583692,0.01,17.67,35855,0.0001,0.01636168733239174
2373.3,596,993,10112,592380,0.01,19.29,36398,0.0001,0.01639316976070404
2419.42,603,992,10176,599588,0.01,19.63,36849,0.0001,0.009747127071022987
2534.67,611,992,10240,607444,0.01,20.79,37340,0.0001,0.003542868420481682
2565.98,620,992,10304,615636,0.01,21.33,37852,0.0001,0.011270422488451004
2600.78,627,992,10368,623168,0.01,21.93,38322,0.0001,0.00774766132235527
2566.83,635,992,10432,630232,0.01,21.12,38764,0.0001,0.011325917206704617
2502.71,642,991,10496,637312,0.01,20.29,39206,0.0001,0.013423684984445572
2440.18,649,991,10560,644112,0.01,19.4,39631,0.0001,0.021864062175154686
2405.73,657,991,10624,651988,0.01,18.82,40124,0.0001,0.0038805913645774126
2456.51,666,991,10688,660620,0.01,19.98,40663,0.0001,0.0035778088495135307
2432.7,673,991,10752,667816,0.01,21.03,41113,0.0001,0.009947736747562885
2413.16,682,990,10816,675720,0.01,20.48,41607,0.0001,0.015603948384523392
2443.83,691,990,10880,684728,0.01,21.61,42170,0.0001,0.01290670782327652
2584.16,700,990,10944,694444,0.01,25.31,42777,0.0001,0.01544422097504139
2627.7,709,990,11008,702988,0.01,27.23,43311,0.0001,0.004550006240606308
2682.05,717,990,11072,711108,0.01,28.8,43819,0.0001,0.02429574355483055
2696.14,726,990,11136,719504,0.01,29.31,44343,0.0001,0.006781527306884527
2694.12,735,990,11200,728272,0.01,29.74,44891,0.0001,0.006984139792621136
2739.93,744,990,11264,737076,0.01,29.09,45442,0.0001,0.02572179213166237
2741.44,751,990,11328,744680,0.01,28.57,45917,0.0001,0.020053118467330933
2762.73,760,990,11392,753320,0.01,28.09,46457,0.0001,0.02958504483103752
2693.16,768,990,11456,760736,0.01,25.01,46920,0.0001,0.006997877266258001
2660.91,777,990,11520,769468,0.01,23.33,47466,0.0001,0.007266303990036249
2708.65,786,989,11584,778412,0.01,23.39,48025,0.0001,0.033178094774484634
2712.08,795,989,11648,787460,0.01,22.38,48591,0.0001,0.00687863165512681
2720.06,805,989,11712,796640,0.01,23.31,49164,0.0001,0.006774362176656723
2728.43,814,989,11776,805796,0.01,25.8,49737,0.0001,0.006089626345783472
2837.95,825,989,11840,816100,0.01,32.67,50381,0.0001,0.030407363548874855
2839.5,833,989,11904,824224,0.01,32.96,50888,0.0001,0.009948259219527245
2879.49,842,989,11968,833584,0.01,33.87,51473,0.0001,0.02141200192272663
2872.3,850,988,12032,841028,0.01,33.75,51939,0.0001,0.01766952872276306
2811.06,857,988,12096,848224,0.01,34.41,52388,0.0001,0.029688378795981407
2735.83,865,988,12160,855444,0.01,34.62,52840,0.0001,0.017355341464281082
2725.9,874,988,12224,864312,0.01,32.26,53394,0.0001,0.04309806600213051
2687.8,883,988,12288,872964,0.01,29.09,53935,0.0001,0.014094958081841469
2630.63,892,988,12352,882008,0.01,26.78,54500,0.0001,0.014042545109987259
2662.95,901,988,12416,891032,0.01,27.2,55064,0.0001,0.0032164391595870256
2674.52,910,988,12480,900156,0.01,31.06,55634,0.0001,0.016487272456288338
2770.37,920,988,12544,909956,0.01,31.97,56247,0.0001,0.007508836220949888
2850.51,930,988,12608,919632,0.01,32.16,56851,0.0001,0.034903381019830704
2954.31,941,988,12672,930036,0.01,33.73,57502,0.0001,0.005701196379959583
2973.16,950,988,12736,939148,0.01,35.01,58071,0.0001,0.02464173547923565
3026.07,959,988,12800,948140,0.01,36.13,58633,0.0001,0.03292722627520561
2997.69,968,988,12864,956840,0.01,35.48,59177,0.0001,0.25437358021736145
2986.1,977,987,12928,965560,0.01,35.27,59722,0.0001,0.05080263689160347
2939.04,985,987,12992,973680,0.01,31.29,60229,0.0001,0.028242487460374832
2906.64,994,987,13056,982540,0.01,31.34,60783,0.0001,0.01750776171684265
2891.92,1005,987,13120,992764,0.01,30.89,61422,0.0001,0.005206327885389328
2871.48,1012,987,13184,1000488,0.01,30.19,61905,0.0001,0.010006122291088104
2801.87,1022,987,13248,1009740,0.01,27.63,62483,0.0001,0.01704874448478222
2791.29,1031,987,13312,1018700,0.01,29.1,63043,0.0001,0.09169229865074158
2827.06,1041,987,13376,1028072,0.01,30.43,63629,0.0001,0.23760391771793365
2890.11,1050,987,13440,1037936,0.01,35.56,64245,0.0001,0.00988214835524559
2951.9,1060,987,13504,1047588,0.01,36.17,64849,0.0001,0.0042280047200620174
3040.81,1072,987,13568,1059056,0.01,41.76,65565,0.0001,0.1114983856678009
