train/value_loss,time/fps,train/entropy_loss,train/learning_rate,time/time_elapsed,train/policy_loss,time/iterations,train/explained_variance,time/total_timesteps,rollout/ep_len_mean,train/n_updates,rollout/ep_rew_mean
0.00016209266323130578,3134,-0.36889997124671936,0.0007,9,-0.0030764241237193346,6100,0.48014020919799805,30500,32.22,6099,32.22
0.00011000316590070724,3135,-0.4166930317878723,0.0007,9,-0.0016093110898509622,6200,0.15436232089996338,31000,37.63,6199,37.63
7.936479232739657e-05,3136,-0.31568124890327454,0.0007,10,-0.0010127173736691475,6300,-0.993527889251709,31500,39.86,6299,39.86
0.00010117152851307765,3136,-0.4168829321861267,0.0007,10,-0.006343710236251354,6400,-67.241455078125,32000,46.75,6399,46.75
0.00011989827180514112,3136,-0.3268139064311981,0.0007,10,0.0021801027469336987,6500,-14.199368476867676,32500,51.07,6499,51.07
0.00022413875558413565,3137,-0.29400435090065,0.0007,10,-0.007926607504487038,6600,0.5011935234069824,33000,55.35,6599,55.35
0.023023443296551704,3138,-0.2487751543521881,0.0007,10,-0.01131376065313816,6700,0.9941247701644897,33500,59.5,6699,59.5
0.038823939859867096,3139,-0.23902550339698792,0.0007,10,0.06380828469991684,6800,-3.5060338973999023,34000,63.32,6799,63.32
34.669437408447266,3140,-0.45144858956336975,0.0007,10,1.6334301233291626,6900,0.9933397769927979,34500,69.32,6899,69.32
0.0072061046957969666,3141,-0.19921450316905975,0.0007,11,0.003741098567843437,7000,-4.908675670623779,35000,73.88,6999,73.88
0.008910969831049442,3142,-0.216226264834404,0.0007,11,0.04746615141630173,7100,-98.31853485107422,35500,78.78,7099,78.78
0.0008263016352429986,3143,-0.35790690779685974,0.0007,11,-0.015018915757536888,7200,-7.910201072692871,36000,83.65,7199,83.65
0.0012076329439878464,3143,-0.20269617438316345,0.0007,11,0.0035871609579771757,7300,-148.79505920410156,36500,88.56,7299,88.56
0.000507061486132443,3144,-0.36228880286216736,0.0007,11,-0.006174320820719004,7400,-35.32819747924805,37000,93.46,7399,93.46
0.0019348664209246635,3145,-0.2889987528324127,0.0007,11,0.004988981876522303,7500,-48.339759826660156,37500,98.36,7499,98.36
0.000869432813487947,3146,-0.2379673421382904,0.0007,12,0.0014806723920628428,7600,-146.2532501220703,38000,103.25,7599,103.25
0.00022166655980981886,3147,-0.35735538601875305,0.0007,12,-0.00043959845788776875,7700,-203.29269409179688,38500,108.13,7699,108.13
1.0802585165947676e-05,3149,-0.2532103657722473,0.0007,12,-0.00014800582721363753,7800,-6.529520511627197,39000,113.03,7799,113.03
