time/fps,train/learning_rate,train/n_updates,train/value_loss,rollout/ep_len_mean,train/explained_variance,train/policy_loss,train/entropy_loss,time/total_timesteps,rollout/ep_rew_mean,time/time_elapsed,time/iterations
2118,0.0007,33399,1.326744794845581,499.43,-0.02894115447998047,0.09516259282827377,-0.6147592067718506,534400,-129.2559373,252,33400
2118,0.0007,33499,0.9160271286964417,499.43,0.41841816902160645,-0.38855642080307007,-0.5403788089752197,536000,-128.84448044,252,33500
2117,0.0007,33599,1.495444655418396,509.19,0.8376221060752869,-0.09772241115570068,-0.5149951577186584,537600,-128.04690264,253,33600
2117,0.0007,33699,7.176488399505615,515.45,-0.07136070728302002,-0.028455758467316628,-0.5142766237258911,539200,-130.53785261000002,254,33700
2118,0.0007,33799,1.0406138896942139,508.62,0.8252273201942444,0.17466574907302856,-0.588155210018158,540800,-129.8018456,255,33800
2118,0.0007,33899,2.3900201320648193,506.03,0.20264750719070435,-0.2873327434062958,-0.4949570894241333,542400,-129.14841639999997,256,33900
2117,0.0007,33999,52.338016510009766,517.91,-0.775041937828064,0.2519635558128357,-0.3331314027309418,544000,-127.96547722000001,256,34000
2118,0.0007,34099,8.86668586730957,529.68,0.21750688552856445,-0.1658354103565216,-0.4610738158226013,545600,-126.94264790000001,257,34100
2118,0.0007,34199,8.7064790725708,533.83,0.07621902227401733,0.10369651019573212,-0.5054273009300232,547200,-126.98929975999998,258,34200
2118,0.0007,34299,2.916837692260742,533.83,0.772749125957489,0.10750690847635269,-0.5130610466003418,548800,-126.13663034999998,258,34300
2119,0.0007,34399,1.2163166999816895,533.69,0.4083510637283325,-0.21570874750614166,-0.6111546158790588,550400,-124.92763070000001,259,34400
2119,0.0007,34499,1.6416622400283813,532.36,0.878710925579071,0.05238008499145508,-0.499069482088089,552000,-124.12454882999998,260,34500
2119,0.0007,34599,1.8172931671142578,531.96,0.3221897482872009,-0.1771351844072342,-0.4631921947002411,553600,-122.77309580000001,261,34600
2120,0.0007,34699,8.915419578552246,543.26,-0.6272157430648804,-0.02926189824938774,-0.3796306550502777,555200,-120.96153757999998,261,34700
2120,0.0007,34799,1.3570599555969238,540.31,0.34556806087493896,0.10482459515333176,-0.6175457239151001,556800,-121.28455488,262,34800
2120,0.0007,34899,3.2385547161102295,540.56,-2.4369678497314453,0.09211528301239014,-0.47160086035728455,558400,-116.45152676,263,34900
2121,0.0007,34999,16.356929779052734,545.05,-2.2642087936401367,-0.09341449290513992,-0.5030969977378845,560000,-114.72074414,263,35000
2121,0.0007,35099,10.716957092285156,549.93,-1.1344754695892334,-0.06317134946584702,-0.4229288101196289,561600,-111.95883636999999,264,35100
2122,0.0007,35199,1.804467797279358,537.09,0.7028743028640747,0.13481870293617249,-0.5208702683448792,563200,-109.47656217000002,265,35200
2122,0.0007,35299,4.180888652801514,549.79,0.5435193777084351,0.10894832760095596,-0.5656545758247375,564800,-108.73052784,266,35300
2123,0.0007,35399,0.9472947716712952,540.78,0.567216157913208,-0.2989300489425659,-0.4836435317993164,566400,-105.79736096999997,266,35400
2123,0.0007,35499,1884.7252197265625,540.36,0.03493666648864746,0.02017930895090103,-0.4952319860458374,568000,-101.81116381999999,267,35500
2123,0.0007,35599,530.77392578125,534.82,0.5519416332244873,0.09712617844343185,-0.39446428418159485,569600,-97.41992927000001,268,35600
2124,0.0007,35699,2285.69970703125,536.9,0.5526103973388672,-0.1460423618555069,-0.559312105178833,571200,-96.05010229,268,35700
2124,0.0007,35799,1.4970924854278564,531.57,0.22055107355117798,0.14713327586650848,-0.4136117398738861,572800,-96.52968064999999,269,35800
2125,0.0007,35899,0.5853314995765686,527.35,0.9337344169616699,0.0704912543296814,-0.41524913907051086,574400,-97.01179328000002,270,35900
2125,0.0007,35999,0.14360828697681427,525.75,0.909852147102356,0.0634271577000618,-0.516450822353363,576000,-96.36694145000001,270,36000
2125,0.0007,36099,5.140675067901611,533.53,0.5595194101333618,-0.34928348660469055,-0.4577806890010834,577600,-93.02100316,271,36100
2126,0.0007,36199,17.476318359375,532.39,-1.4123265743255615,0.09048499166965485,-0.5364358425140381,579200,-91.60889905999998,272,36200
2126,0.0007,36299,12.77340030670166,532.1,-2.5421149730682373,-0.09948624670505524,-0.5594793558120728,580800,-92.92783031,273,36300
2127,0.0007,36399,0.734306275844574,512.11,0.810195803642273,0.05472172424197197,-0.44640541076660156,582400,-91.00760573000001,273,36400
2127,0.0007,36499,7.51120662689209,498.72,-0.592244029045105,-0.09265865385532379,-0.5284624099731445,584000,-92.73994836,274,36500
2127,0.0007,36599,11.158358573913574,497.03,0.08035588264465332,0.0022243261337280273,-0.5091574788093567,585600,-90.76742896000002,275,36600
2128,0.0007,36699,926.6319580078125,490.64,0.725570023059845,-0.1390586793422699,-0.425758957862854,587200,-92.73713473999996,275,36700
2128,0.0007,36799,2.1635894775390625,479.98,-0.3145565986633301,0.45892539620399475,-0.4698828458786011,588800,-92.65516541000001,276,36800
2127,0.0007,36899,1.561532735824585,491.75,0.6868636608123779,0.3351083993911743,-0.4351651072502136,590400,-89.93754507000001,277,36900
2127,0.0007,36999,4.317261219024658,489.24,0.5480884313583374,-0.0775664672255516,-0.45936280488967896,592000,-89.68282474000002,278,37000
2127,0.0007,37099,10.640751838684082,475.89,-0.06471610069274902,0.21785575151443481,-0.396928608417511,593600,-90.58650379999997,278,37100
2128,0.0007,37199,7.732367992401123,461.63,-4.83710241317749,-0.10255590081214905,-0.4827297329902649,595200,-92.59456748000001,279,37200
2128,0.0007,37299,0.9724819660186768,453.55,0.5894045233726501,0.06422653049230576,-0.4466148316860199,596800,-94.71154407000002,280,37300
2128,0.0007,37399,6.48265266418457,453.62,-0.3072490692138672,-0.10056989639997482,-0.39295944571495056,598400,-96.40205242,281,37400
2129,0.0007,37499,2.104570150375366,442.68,0.6816979646682739,0.014141876250505447,-0.604408323764801,600000,-96.51892033,281,37500
2129,0.0007,37599,0.933423638343811,444.18,0.7581429481506348,-0.019775815308094025,-0.5990068912506104,601600,-93.66553209,282,37600
2129,0.0007,37699,2.7949957847595215,457.27,0.8443353176116943,0.15047383308410645,-0.5017052292823792,603200,-91.08170761,283,37700
2128,0.0007,37799,5.088919162750244,450.39,0.26894646883010864,0.13743843138217926,-0.4741246998310089,604800,-93.77833718000002,284,37800
2128,0.0007,37899,12.512286186218262,442.36,-0.1825873851776123,0.20564721524715424,-0.45479482412338257,606400,-96.13379383999998,284,37900
2128,0.0007,37999,3.311713457107544,433.68,-0.6349728107452393,0.2148951292037964,-0.5091133117675781,608000,-94.60989011,285,38000
2129,0.0007,38099,227.93528747558594,427.91,-2.8054754734039307,-1.0468655631257207e-07,-3.855963768728543e-06,609600,-96.84221018000002,286,38100
2129,0.0007,38199,1.6066086292266846,432.74,0.5588684678077698,-0.13172607123851776,-0.5332474708557129,611200,-98.08078350999999,287,38200
2129,0.0007,38299,4.527585029602051,421.58,0.7964490056037903,0.0421346090734005,-0.40336188673973083,612800,-97.69382831999998,287,38300
2130,0.0007,38399,4.329235553741455,417.71,0.1585180163383484,0.03663664311170578,-0.5038688778877258,614400,-94.01353144999999,288,38400
2130,0.0007,38499,2.89560604095459,411.58,0.8867682218551636,-0.19396299123764038,-0.37366783618927,616000,-93.93784418000001,289,38500
2130,0.0007,38599,1.9951117038726807,406.02,0.5380865335464478,0.09699836373329163,-0.39089900255203247,617600,-91.19342177,289,38600
2130,0.0007,38699,9.683252334594727,403.66,-3.675300121307373,-0.0975777879357338,-0.635852575302124,619200,-84.75814145999999,290,38700
2131,0.0007,38799,95.151611328125,399.58,-1.0253491401672363,-0.0,-2.4162716272257967e-10,620800,-77.88204388,291,38800
2131,0.0007,38899,8.211713790893555,410.97,0.03452247381210327,0.4022490382194519,-0.5066717863082886,622400,-72.57614622999999,292,38900
2131,0.0007,38999,0.03115953877568245,411.89,0.12652909755706787,-0.38434070348739624,-0.09344664216041565,624000,-65.5987581,292,39000
2131,0.0007,39099,7.7555832862854,413.76,-2.290024757385254,-0.06371623277664185,-0.5837739109992981,625600,-61.782458919999996,293,39100
2132,0.0007,39199,1.8710157871246338,419.92,0.6127622127532959,0.14848044514656067,-0.7657601237297058,627200,-56.643947499999996,294,39200
2132,0.0007,39299,0.345924437046051,402.36,0.9769605398178101,0.09810133278369904,-0.6485890746116638,628800,-47.52939803999999,294,39300
2130,0.0007,39399,4.3684916496276855,377.63,0.795312762260437,0.07783462852239609,-0.3995075225830078,630400,-41.791468640000005,295,39400
2129,0.0007,39499,6.5371174812316895,366.8,0.8073667287826538,0.0024500638246536255,-0.703619122505188,632000,-29.250696239999996,296,39500
2126,0.0007,39599,11.045758247375488,362.84,0.8990098237991333,0.08447857201099396,-0.49620163440704346,633600,-17.965918170000002,297,39600
2126,0.0007,39699,1.5996730327606201,356.67,0.012835144996643066,-0.19970598816871643,-0.414684534072876,635200,-11.574056780000001,298,39700
2127,0.0007,39799,0.10543987900018692,337.32,0.7859169244766235,-0.0,-3.394249858956755e-08,636800,-7.8021275800000005,299,39800
2127,0.0007,39899,4.208745956420898,327.07,-4.448353290557861,0.30185645818710327,-0.36610928177833557,638400,-6.27489955,300,39900
2127,0.0007,39999,401.4984130859375,312.07,0.02369225025177002,-0.01779087260365486,-0.32009273767471313,640000,-5.220020220000001,300,40000
2127,0.0007,40099,0.81923907995224,304.6,0.9864435195922852,-0.352611780166626,-0.26147961616516113,641600,-0.39993825000000316,301,40100
2127,0.0007,40199,5.147533416748047,302.31,-0.12262940406799316,-0.05894070863723755,-0.6269504427909851,643200,9.97972396,302,40200
2127,0.0007,40299,2143.426025390625,293.79,-0.3232085704803467,-0.171145498752594,-0.4025135338306427,644800,16.73279203,303,40300
2128,0.0007,40399,1.4145333766937256,284.96,0.4139902591705322,-0.3050512373447418,-0.40474605560302734,646400,11.95098931,303,40400
2128,0.0007,40499,13.218567848205566,266.43,0.8236479759216309,0.23047828674316406,-0.5490560531616211,648000,7.048427499999999,304,40500
2127,0.0007,40599,7.785477161407471,262.68,0.010438799858093262,0.18749405443668365,-0.6932706236839294,649600,10.44354275,305,40600
2127,0.0007,40699,1.296231985092163,252.25,0.07255876064300537,-0.06342275440692902,-0.4205528795719147,651200,5.153497070000001,306,40700
2127,0.0007,40799,5.1515302658081055,250.15,-1.6082565784454346,-0.1225908100605011,-0.5398910641670227,652800,4.501336749999997,306,40800
2128,0.0007,40899,9.090086936950684,253.46,0.7461780309677124,0.07921610027551651,-0.5481330156326294,654400,0.18987408999999858,307,40900
2128,0.0007,40999,2.5809273719787598,254.12,-1.4270703792572021,0.010133646428585052,-0.4520196318626404,656000,-3.505944770000001,308,41000
2128,0.0007,41099,1729.838623046875,265.51,0.43192410469055176,-0.3049550950527191,-0.4791085422039032,657600,-6.66689927,308,41100
2128,0.0007,41199,2.5607097148895264,268.34,0.25173693895339966,-0.10876926779747009,-0.441300630569458,659200,-9.874240499999999,309,41200
2129,0.0007,41299,11.18867301940918,278.02,-0.7996914386749268,0.05162416025996208,-0.3581486940383911,660800,-16.36842115,310,41300
