train/policy_loss,train/explained_variance,time/fps,train/entropy_loss,time/time_elapsed,rollout/ep_len_mean,rollout/ep_rew_mean,train/value_loss,time/iterations,time/total_timesteps,train/n_updates,train/learning_rate
0.18750232458114624,0.775382936000824,518,-0.44563907384872437,336,757.09,-32.718471130000005,1.5892002582550049,34900,174500,34899,0.0007
0.04802633076906204,0.9591031670570374,519,-0.5131257772445679,336,757.09,-32.7654042,0.114659883081913,35000,175000,34999,0.0007
-0.2227933704853058,0.8677054643630981,518,-0.322885662317276,338,757.09,-32.7654042,0.33344078063964844,35100,175500,35099,0.0007
-0.4565517008304596,0.033052802085876465,518,-0.8181450963020325,339,757.09,-32.39326017,2.5613603591918945,35200,176000,35199,0.0007
0.0642586499452591,0.38064587116241455,518,-0.5088250637054443,340,757.09,-32.39326017,0.9931842684745789,35300,176500,35299,0.0007
-0.10474902391433716,0.3819742202758789,519,-0.42382878065109253,340,756.36,-36.21794249,0.35778704285621643,35400,177000,35399,0.0007
0.8212321400642395,0.0614321231842041,519,-0.27625465393066406,341,750.23,-36.9604666,3.369607448577881,35500,177500,35499,0.0007
0.23402634263038635,0.9370671510696411,520,-0.3091878294944763,342,750.23,-36.9604666,2.173776149749756,35600,178000,35599,0.0007
0.11330543458461761,-5.242190837860107,519,-0.4704269468784332,343,750.23,-35.86264182,0.8034502863883972,35700,178500,35699,0.0007
-0.0922224149107933,-1.3257806301116943,518,-0.451894611120224,344,750.23,-35.86264182,3.4602608680725098,35800,179000,35799,0.0007
0.9354287981987,-0.033797621726989746,518,-0.5498979687690735,346,750.23,-36.14658841000001,3.0433270931243896,35900,179500,35899,0.0007
0.4758020043373108,0.9864026308059692,518,-0.39068761467933655,346,750.23,-36.14658841000001,0.42956870794296265,36000,180000,35999,0.0007
-0.4811566472053528,0.5065780878067017,519,-0.7390197515487671,347,750.22,-33.97215038,2.1754655838012695,36100,180500,36099,0.0007
0.006044515874236822,0.9966338276863098,519,-0.4572013020515442,348,747.48,-33.741734570000006,0.00648707989603281,36200,181000,36199,0.0007
0.23918664455413818,0.17853301763534546,518,-0.6994191408157349,350,747.48,-33.741734570000006,0.6018440127372742,36300,181500,36299,0.0007
0.5930793881416321,0.16107457876205444,518,-0.3397539258003235,350,753.41,-34.033168120000006,2.741788387298584,36400,182000,36399,0.0007
-0.26075276732444763,0.5890220403671265,519,-0.6405025720596313,351,753.41,-34.033168120000006,0.18569503724575043,36500,182500,36499,0.0007
-1.33414626121521,0.3212854266166687,520,-0.5622228384017944,351,758.11,-37.25538266,6.403780460357666,36600,183000,36599,0.0007
-0.32943180203437805,-0.13771629333496094,520,-0.4113233685493469,352,754.36,-39.28201585,7.685850620269775,36700,183500,36699,0.0007
0.10167752206325531,-0.23380720615386963,521,-0.2987136244773865,353,754.36,-39.28201585,2.2938151359558105,36800,184000,36799,0.0007
0.15249869227409363,0.9553577303886414,521,-0.10278479754924774,353,760.01,-39.63731072,0.23881879448890686,36900,184500,36899,0.0007
0.014438184909522533,0.7989411950111389,522,-0.4015628695487976,354,760.01,-39.63731072,0.49945560097694397,37000,185000,36999,0.0007
-0.391427218914032,-0.11690163612365723,522,-0.5711966753005981,354,763.56,-39.5665278,1.155395746231079,37100,185500,37099,0.0007
0.0008908783784136176,-1.0493736267089844,522,-0.003637718502432108,356,748.67,-42.42721407,8.495796203613281,37200,186000,37199,0.0007
