time/total_timesteps,time/episodes,time/fps,time/time_elapsed,rollout/exploration_rate,rollout/ep_len_mean,rollout/ep_rew_mean,train/loss,train/learning_rate,train/n_updates
19316,860,4278,4,0.01,9.52,9.52,28.131759643554688,0.001,4803
19354,864,4276,4,0.01,9.55,9.55,29.818809509277344,0.001,4813
19393,868,4276,4,0.01,9.56,9.56,5.954713344573975,0.001,4823
19433,872,4275,4,0.01,9.59,9.59,11.115955352783203,0.001,4833
19470,876,4275,4,0.01,9.57,9.57,12.071910858154297,0.001,4842
19506,880,4274,4,0.01,9.55,9.55,32.49085998535156,0.001,4851
19542,884,4274,4,0.01,9.53,9.53,9.937348365783691,0.001,4860
19578,888,4274,4,0.01,9.49,9.49,12.92527961730957,0.001,4869
19614,892,4273,4,0.01,9.45,9.45,19.280155181884766,0.001,4878
19651,896,4272,4,0.01,9.44,9.44,16.24739646911621,0.001,4887
19687,900,4266,4,0.01,9.41,9.41,16.134056091308594,0.001,4896
19725,904,4258,4,0.01,9.4,9.4,26.320589065551758,0.001,4906
19765,908,4253,4,0.01,9.41,9.41,19.991764068603516,0.001,4916
19803,912,4252,4,0.01,9.41,9.41,35.8194694519043,0.001,4925
19841,916,4251,4,0.01,9.44,9.44,13.261630058288574,0.001,4935
19876,920,4251,4,0.01,9.42,9.42,17.7088565826416,0.001,4943
19915,924,4251,4,0.01,9.42,9.42,21.383872985839844,0.001,4953
19954,928,4250,4,0.01,9.43,9.43,12.224316596984863,0.001,4963
19994,932,4250,4,0.01,9.44,9.44,30.42479705810547,0.001,4973
20032,936,4250,4,0.01,9.45,9.45,21.100807189941406,0.001,4982
20071,940,4250,4,0.01,9.46,9.46,18.780336380004883,0.001,4992
20107,944,4249,4,0.01,9.47,9.47,38.73258590698242,0.001,5001
20145,948,4248,4,0.01,9.48,9.48,14.56127643585205,0.001,5011
20183,952,4248,4,0.01,9.47,9.47,19.46967124938965,0.001,5020
20219,956,4248,4,0.01,9.42,9.42,33.53425598144531,0.001,5029
20256,960,4248,4,0.01,9.4,9.4,15.157466888427734,0.001,5038
20292,964,4247,4,0.01,9.38,9.38,31.270503997802734,0.001,5047
20330,968,4247,4,0.01,9.37,9.37,51.16502380371094,0.001,5057
20368,972,4245,4,0.01,9.35,9.35,18.591659545898438,0.001,5066
20407,976,4245,4,0.01,9.37,9.37,19.952402114868164,0.001,5076
20444,980,4244,4,0.01,9.38,9.38,20.892498016357422,0.001,5085
20482,984,4244,4,0.01,9.4,9.4,30.612340927124023,0.001,5095
20518,988,4243,4,0.01,9.4,9.4,49.03017807006836,0.001,5104
20557,992,4243,4,0.01,9.43,9.43,6.495316505432129,0.001,5114
20594,996,4243,4,0.01,9.43,9.43,60.35265350341797,0.001,5123
20634,1000,4243,4,0.01,9.47,9.47,91.30001831054688,0.001,5133
20671,1004,4243,4,0.01,9.46,9.46,37.77252960205078,0.001,5142
20708,1008,4242,4,0.01,9.43,9.43,33.33424377441406,0.001,5151
