rollout/ep_len_mean,time/time_elapsed,train/n_updates,time/total_timesteps,rollout/ep_rew_mean,train/explained_variance,train/value_loss,time/iterations,time/fps,train/policy_loss,train/entropy_loss,train/learning_rate
1942.38,409,15399,308000,11.05,0.8866667747497559,0.023322859779000282,15400,752,0.027034927159547806,-1.2385400533676147,0.0007
1924.51,412,15499,310000,10.84,0.7504997849464417,0.031129544600844383,15500,752,-0.02742770127952099,-0.9492369890213013,0.0007
1965.37,414,15599,312000,11.14,0.4146989583969116,0.06890594959259033,15600,752,-0.06831301003694534,-1.0980331897735596,0.0007
1957.26,417,15699,314000,10.9,-1.2605764865875244,0.14149582386016846,15700,752,-0.32486218214035034,-1.2982922792434692,0.0007
1965.73,419,15799,316000,10.92,0.6405367851257324,0.021604178473353386,15800,753,0.023214660584926605,-1.1918377876281738,0.0007
1949.16,421,15899,318000,10.78,0.38751739263534546,0.08914762735366821,15900,753,0.0857212245464325,-1.2911301851272583,0.0007
1942.61,424,15999,320000,10.78,0.8519209027290344,0.019273666664958,16000,753,0.09843045473098755,-1.2228611707687378,0.0007
1958.64,426,16099,322000,11.04,0.5041319727897644,0.07123010605573654,16100,754,0.048651110380887985,-1.1259206533432007,0.0007
1960.6,429,16199,324000,11.01,0.9431326985359192,0.016141414642333984,16200,754,-0.0262135099619627,-1.2576960325241089,0.0007
1966.99,431,16299,326000,10.92,0.6731937527656555,0.013331236317753792,16300,754,0.018390290439128876,-1.0618776082992554,0.0007
1981.46,434,16399,328000,11.08,0.8554150462150574,0.03288787230849266,16400,755,0.06489457935094833,-1.264357566833496,0.0007
1972.26,436,16499,330000,11.1,0.7644246816635132,0.02742205560207367,16500,755,0.08882345259189606,-1.255744218826294,0.0007
1996.69,439,16599,332000,11.29,0.8923116326332092,0.007985948584973812,16600,755,-0.061992764472961426,-1.3264626264572144,0.0007
1990.16,441,16699,334000,11.33,0.9511423110961914,0.011485940776765347,16700,755,-0.018116449937224388,-1.0909241437911987,0.0007
1989.51,444,16799,336000,11.38,0.8848236203193665,0.013281039893627167,16800,756,-0.05216214060783386,-1.2327810525894165,0.0007
1938.56,446,16899,338000,11.04,-3.0577950477600098,0.0005125055322423577,16900,756,0.007053968496620655,-0.379531592130661,0.0007
1821.72,449,16999,340000,10.09,0.8442778587341309,0.004845454823225737,17000,756,-0.017068838700652122,-1.3717528581619263,0.0007
1790.6,452,17099,342000,9.84,0.6577084064483643,0.08016572147607803,17100,756,-0.06675799936056137,-0.8966190218925476,0.0007
1794.11,454,17199,344000,9.83,0.8942418098449707,0.013059670105576515,17200,756,-0.09085262566804886,-1.1791623830795288,0.0007
1799.01,457,17299,346000,9.92,0.9625539779663086,0.009705658070743084,17300,757,-0.09703472256660461,-1.2005386352539062,0.0007
1802.41,459,17399,348000,10.06,0.6069536805152893,0.03688742592930794,17400,757,0.012032401748001575,-1.106988549232483,0.0007
1789.69,462,17499,350000,9.8,0.9035024046897888,0.02134169451892376,17500,757,0.03892357647418976,-1.1920086145401,0.0007
1846.69,464,17599,352000,10.24,0.8644042015075684,0.026893017813563347,17600,757,-0.00756434490904212,-1.0979877710342407,0.0007
1879.85,467,17699,354000,10.56,0.8776247501373291,0.07865338772535324,17700,757,-0.2593443989753723,-1.1063802242279053,0.0007
1881.23,469,17799,356000,10.61,0.6044639348983765,0.07556100934743881,17800,757,0.039950255304574966,-1.2503870725631714,0.0007
1871.29,472,17899,358000,10.41,-0.5104516744613647,0.277855783700943,17900,758,0.13895249366760254,-1.2764936685562134,0.0007
1881.61,474,17999,360000,10.49,0.8433715105056763,0.019274333491921425,18000,758,0.04593934118747711,-1.189005732536316,0.0007
1884.34,477,18099,362000,10.56,0.9053809642791748,0.017178557813167572,18100,758,-0.05647973343729973,-1.0886777639389038,0.0007
1913.45,479,18199,364000,10.8,0.761224091053009,0.02190006710588932,18200,758,-0.0008852690807543695,-1.2165486812591553,0.0007
1934.53,482,18299,366000,11.04,0.8827474117279053,0.0153666902333498,18300,759,0.04410165548324585,-1.2415982484817505,0.0007
1940.06,484,18399,368000,11.09,0.8963669538497925,0.007948162034153938,18400,759,-0.053947627544403076,-1.2514315843582153,0.0007
1954.73,487,18499,370000,11.3,0.9548013806343079,0.009724798612296581,18500,759,0.013840151019394398,-1.2673654556274414,0.0007
1939.56,489,18599,372000,11.3,0.5142337083816528,0.06934105604887009,18600,759,-0.0029921294189989567,-1.111703634262085,0.0007
1957.92,492,18699,374000,11.47,0.34779036045074463,0.10916977375745773,18700,760,-0.0877295732498169,-1.0515216588974,0.0007
1962.31,494,18799,376000,11.58,0.744641900062561,0.012707647867500782,18800,760,-0.07119649648666382,-1.0851091146469116,0.0007
1843.17,497,18899,378000,10.57,0.7728329300880432,0.014935636892914772,18900,760,-0.05138702318072319,-1.2536886930465698,0.0007
1808.29,499,18999,380000,10.28,0.8183255195617676,0.016131803393363953,19000,760,-0.023192085325717926,-1.3201709985733032,0.0007
1831.15,502,19099,382000,10.42,0.7399737238883972,0.033551838248968124,19100,760,-0.07294540107250214,-1.2690528631210327,0.0007
1861.58,504,19199,384000,10.7,0.9596959352493286,0.001885117613710463,19200,761,0.006831847131252289,-1.265756368637085,0.0007
1920.01,507,19299,386000,11.16,0.41812676191329956,0.0676887258887291,19300,761,0.04392172023653984,-1.1989014148712158,0.0007
1985.17,509,19399,388000,11.73,0.766858696937561,0.026236409321427345,19400,761,-0.06534745544195175,-1.1329408884048462,0.0007
2018.4,512,19499,390000,12.03,0.9389674067497253,0.012862867675721645,19500,761,-0.01086685061454773,-1.1120483875274658,0.0007
2080.09,514,19599,392000,12.53,0.4949304461479187,0.08080031722784042,19600,761,0.01751672849059105,-1.1782028675079346,0.0007
2106.79,517,19699,394000,13.0,0.7330476641654968,0.04082723334431648,19700,761,-0.003214293858036399,-1.2547011375427246,0.0007
2104.2,519,19799,396000,12.94,0.8128700256347656,0.059562116861343384,19800,762,0.18095283210277557,-1.216894507408142,0.0007
2130.83,522,19899,398000,13.16,0.6172444224357605,0.23465101420879364,19900,762,-0.35049009323120117,-1.1380081176757812,0.0007
2170.51,524,19999,400000,13.38,0.9455686211585999,0.020952925086021423,20000,762,-0.01054702140390873,-1.0712183713912964,0.0007
2192.43,526,20099,402000,13.6,0.8862038254737854,0.07442156970500946,20100,762,-0.026621853932738304,-1.0203945636749268,0.0007
